sample_id,label,source_sample_id,dataset
GSE33000__GSM1424238,control,GSM1424238,GSE33000
GSE33000__GSM1424239,control,GSM1424239,GSE33000
GSE33000__GSM1424240,control,GSM1424240,GSE33000
GSE33000__GSM1424241,control,GSM1424241,GSE33000
GSE33000__GSM1424242,control,GSM1424242,GSE33000
GSE33000__GSM1424243,control,GSM1424243,GSE33000
GSE33000__GSM1424244,control,GSM1424244,GSE33000
GSE33000__GSM1424245,control,GSM1424245,GSE33000
GSE33000__GSM1424246,control,GSM1424246,GSE33000
GSE36980__GSM907792,positive,GSM907792,GSE36980
GSE36980__GSM907793,positive,GSM907793,GSE36980
GSE36980__GSM907794,positive,GSM907794,GSE36980
GSE36980__GSM907795,positive,GSM907795,GSE36980
GSE36980__GSM907796,positive,GSM907796,GSE36980
GSE36980__GSM907797,positive,GSM907797,GSE36980
GSE36980__GSM907798,positive,GSM907798,GSE36980
GSE36980__GSM907799,positive,GSM907799,GSE36980
GSE36980__GSM907800,positive,GSM907800,GSE36980
GSE36980__GSM907801,positive,GSM907801,GSE36980
GSE36980__GSM907802,positive,GSM907802,GSE36980
GSE36980__GSM907803,positive,GSM907803,GSE36980
GSE36980__GSM907804,positive,GSM907804,GSE36980
GSE36980__GSM907805,positive,GSM907805,GSE36980
GSE36980__GSM907806,positive,GSM907806,GSE36980
GSE36980__GSM907807,control,GSM907807,GSE36980
GSE36980__GSM907808,control,GSM907808,GSE36980
GSE36980__GSM907809,control,GSM907809,GSE36980
GSE36980__GSM907810,control,GSM907810,GSE36980
GSE36980__GSM907811,control,GSM907811,GSE36980
GSE36980__GSM907812,control,GSM907812,GSE36980
GSE36980__GSM907813,control,GSM907813,GSE36980
GSE36980__GSM907814,control,GSM907814,GSE36980
GSE36980__GSM907815,control,GSM907815,GSE36980
GSE36980__GSM907816,control,GSM907816,GSE36980
GSE36980__GSM907817,control,GSM907817,GSE36980
GSE36980__GSM907818,control,GSM907818,GSE36980
GSE36980__GSM907819,control,GSM907819,GSE36980
GSE36980__GSM907820,control,GSM907820,GSE36980
GSE36980__GSM907821,control,GSM907821,GSE36980
GSE36980__GSM907822,control,GSM907822,GSE36980
GSE36980__GSM907823,control,GSM907823,GSE36980
GSE36980__GSM907824,control,GSM907824,GSE36980
GSE36980__GSM907825,positive,GSM907825,GSE36980
GSE36980__GSM907826,positive,GSM907826,GSE36980
GSE36980__GSM907827,positive,GSM907827,GSE36980
GSE36980__GSM907828,positive,GSM907828,GSE36980
GSE36980__GSM907829,positive,GSM907829,GSE36980
GSE36980__GSM907830,positive,GSM907830,GSE36980
GSE36980__GSM907831,positive,GSM907831,GSE36980
GSE36980__GSM907832,positive,GSM907832,GSE36980
GSE36980__GSM907833,positive,GSM907833,GSE36980
GSE36980__GSM907834,positive,GSM907834,GSE36980
GSE36980__GSM907835,control,GSM907835,GSE36980
GSE36980__GSM907836,control,GSM907836,GSE36980
GSE36980__GSM907837,control,GSM907837,GSE36980
GSE36980__GSM907838,control,GSM907838,GSE36980
GSE36980__GSM907839,control,GSM907839,GSE36980
GSE36980__GSM907840,control,GSM907840,GSE36980
GSE36980__GSM907841,control,GSM907841,GSE36980
GSE36980__GSM907842,control,GSM907842,GSE36980
GSE36980__GSM907843,control,GSM907843,GSE36980
GSE36980__GSM907844,control,GSM907844,GSE36980
GSE36980__GSM907845,control,GSM907845,GSE36980
GSE36980__GSM907846,control,GSM907846,GSE36980
GSE36980__GSM907847,control,GSM907847,GSE36980
GSE36980__GSM907848,control,GSM907848,GSE36980
GSE36980__GSM907849,control,GSM907849,GSE36980
GSE36980__GSM907850,control,GSM907850,GSE36980
GSE36980__GSM907851,control,GSM907851,GSE36980
GSE36980__GSM907852,control,GSM907852,GSE36980
GSE36980__GSM907853,control,GSM907853,GSE36980
GSE36980__GSM907854,positive,GSM907854,GSE36980
GSE36980__GSM907855,positive,GSM907855,GSE36980
GSE36980__GSM907856,positive,GSM907856,GSE36980
GSE36980__GSM907857,positive,GSM907857,GSE36980
GSE36980__GSM907858,positive,GSM907858,GSE36980
GSE36980__GSM907859,positive,GSM907859,GSE36980
GSE36980__GSM907860,positive,GSM907860,GSE36980
GSE36980__GSM907861,control,GSM907861,GSE36980
GSE36980__GSM907862,control,GSM907862,GSE36980
GSE36980__GSM907863,control,GSM907863,GSE36980
GSE36980__GSM907864,control,GSM907864,GSE36980
GSE36980__GSM907865,control,GSM907865,GSE36980
GSE36980__GSM907866,control,GSM907866,GSE36980
GSE36980__GSM907867,control,GSM907867,GSE36980
GSE36980__GSM907868,control,GSM907868,GSE36980
GSE36980__GSM907869,control,GSM907869,GSE36980
GSE36980__GSM907870,control,GSM907870,GSE36980
GSE36980__GSM4764672,positive,GSM4764672,GSE36980
GSE5281__GSM119615,control,GSM119615,GSE5281
GSE5281__GSM119616,control,GSM119616,GSE5281
GSE5281__GSM119617,control,GSM119617,GSE5281
GSE5281__GSM119618,control,GSM119618,GSE5281
GSE5281__GSM119619,control,GSM119619,GSE5281
GSE5281__GSM119620,control,GSM119620,GSE5281
GSE5281__GSM119621,control,GSM119621,GSE5281
GSE5281__GSM119622,control,GSM119622,GSE5281
GSE5281__GSM119623,control,GSM119623,GSE5281
GSE5281__GSM119624,control,GSM119624,GSE5281
GSE5281__GSM119625,control,GSM119625,GSE5281
GSE5281__GSM119626,control,GSM119626,GSE5281
GSE5281__GSM119627,control,GSM119627,GSE5281
GSE5281__GSM119628,control,GSM119628,GSE5281
GSE5281__GSM119629,control,GSM119629,GSE5281
GSE5281__GSM119630,control,GSM119630,GSE5281
GSE5281__GSM119631,control,GSM119631,GSE5281
GSE5281__GSM119632,control,GSM119632,GSE5281
GSE5281__GSM119633,control,GSM119633,GSE5281
GSE5281__GSM119634,control,GSM119634,GSE5281
GSE5281__GSM119635,control,GSM119635,GSE5281
GSE5281__GSM119636,control,GSM119636,GSE5281
GSE5281__GSM119637,control,GSM119637,GSE5281
GSE5281__GSM119638,control,GSM119638,GSE5281
GSE5281__GSM119639,control,GSM119639,GSE5281
GSE5281__GSM119640,control,GSM119640,GSE5281
GSE5281__GSM119641,control,GSM119641,GSE5281
GSE5281__GSM119642,control,GSM119642,GSE5281
GSE5281__GSM119643,control,GSM119643,GSE5281
GSE5281__GSM119644,control,GSM119644,GSE5281
GSE5281__GSM119645,control,GSM119645,GSE5281
GSE5281__GSM119646,control,GSM119646,GSE5281
GSE5281__GSM119647,control,GSM119647,GSE5281
GSE5281__GSM119648,control,GSM119648,GSE5281
GSE5281__GSM119649,control,GSM119649,GSE5281
GSE5281__GSM119650,control,GSM119650,GSE5281
GSE5281__GSM119651,control,GSM119651,GSE5281
GSE5281__GSM119652,control,GSM119652,GSE5281
GSE5281__GSM119653,control,GSM119653,GSE5281
GSE5281__GSM119654,control,GSM119654,GSE5281
GSE5281__GSM119655,control,GSM119655,GSE5281
GSE5281__GSM119656,control,GSM119656,GSE5281
GSE5281__GSM119657,control,GSM119657,GSE5281
GSE5281__GSM119658,control,GSM119658,GSE5281
GSE5281__GSM119659,control,GSM119659,GSE5281
GSE5281__GSM119660,control,GSM119660,GSE5281
GSE5281__GSM119661,control,GSM119661,GSE5281
GSE5281__GSM119662,control,GSM119662,GSE5281
GSE5281__GSM119663,control,GSM119663,GSE5281
GSE5281__GSM119664,control,GSM119664,GSE5281
GSE5281__GSM119665,control,GSM119665,GSE5281
GSE5281__GSM119666,control,GSM119666,GSE5281
GSE5281__GSM119667,control,GSM119667,GSE5281
GSE5281__GSM119668,control,GSM119668,GSE5281
GSE5281__GSM119669,control,GSM119669,GSE5281
GSE5281__GSM119670,control,GSM119670,GSE5281
GSE5281__GSM119671,control,GSM119671,GSE5281
GSE5281__GSM119672,control,GSM119672,GSE5281
GSE5281__GSM119673,control,GSM119673,GSE5281
GSE5281__GSM119674,control,GSM119674,GSE5281
GSE5281__GSM119675,control,GSM119675,GSE5281
GSE5281__GSM119676,control,GSM119676,GSE5281
GSE5281__GSM119677,control,GSM119677,GSE5281
GSE5281__GSM119678,control,GSM119678,GSE5281
GSE5281__GSM119679,control,GSM119679,GSE5281
GSE5281__GSM119680,control,GSM119680,GSE5281
GSE5281__GSM119681,control,GSM119681,GSE5281
GSE5281__GSM119682,control,GSM119682,GSE5281
GSE5281__GSM119683,control,GSM119683,GSE5281
GSE5281__GSM119684,control,GSM119684,GSE5281
GSE5281__GSM119685,control,GSM119685,GSE5281
GSE5281__GSM119686,control,GSM119686,GSE5281
GSE5281__GSM119687,control,GSM119687,GSE5281
GSE5281__GSM119688,control,GSM119688,GSE5281
GSE5281__GSM238763,positive,GSM238763,GSE5281
GSE5281__GSM238790,positive,GSM238790,GSE5281
GSE5281__GSM238791,positive,GSM238791,GSE5281
GSE5281__GSM238792,positive,GSM238792,GSE5281
GSE5281__GSM238793,positive,GSM238793,GSE5281
GSE5281__GSM238794,positive,GSM238794,GSE5281
GSE5281__GSM238795,positive,GSM238795,GSE5281
GSE5281__GSM238796,positive,GSM238796,GSE5281
GSE5281__GSM238797,positive,GSM238797,GSE5281
GSE5281__GSM238798,positive,GSM238798,GSE5281
GSE5281__GSM238799,positive,GSM238799,GSE5281
GSE5281__GSM238800,positive,GSM238800,GSE5281
GSE5281__GSM238801,positive,GSM238801,GSE5281
GSE5281__GSM238802,positive,GSM238802,GSE5281
GSE5281__GSM238803,positive,GSM238803,GSE5281
GSE5281__GSM238804,positive,GSM238804,GSE5281
GSE5281__GSM238805,positive,GSM238805,GSE5281
GSE5281__GSM238806,positive,GSM238806,GSE5281
GSE5281__GSM238807,positive,GSM238807,GSE5281
GSE5281__GSM238808,positive,GSM238808,GSE5281
GSE5281__GSM238809,positive,GSM238809,GSE5281
GSE5281__GSM238810,positive,GSM238810,GSE5281
GSE5281__GSM238811,positive,GSM238811,GSE5281
GSE5281__GSM238812,positive,GSM238812,GSE5281
GSE5281__GSM238813,positive,GSM238813,GSE5281
GSE5281__GSM238815,positive,GSM238815,GSE5281
GSE5281__GSM238816,positive,GSM238816,GSE5281
GSE5281__GSM238817,positive,GSM238817,GSE5281
GSE5281__GSM238818,positive,GSM238818,GSE5281
GSE5281__GSM238819,positive,GSM238819,GSE5281
GSE5281__GSM238820,positive,GSM238820,GSE5281
GSE5281__GSM238821,positive,GSM238821,GSE5281
GSE5281__GSM238822,positive,GSM238822,GSE5281
GSE5281__GSM238823,positive,GSM238823,GSE5281
GSE5281__GSM238824,positive,GSM238824,GSE5281
GSE5281__GSM238825,positive,GSM238825,GSE5281
GSE5281__GSM238826,positive,GSM238826,GSE5281
GSE5281__GSM238827,positive,GSM238827,GSE5281
GSE5281__GSM238834,positive,GSM238834,GSE5281
GSE5281__GSM238835,positive,GSM238835,GSE5281
GSE5281__GSM238837,positive,GSM238837,GSE5281
GSE5281__GSM238838,positive,GSM238838,GSE5281
GSE5281__GSM238839,positive,GSM238839,GSE5281
GSE5281__GSM238840,positive,GSM238840,GSE5281
GSE5281__GSM238841,positive,GSM238841,GSE5281
GSE5281__GSM238842,positive,GSM238842,GSE5281
GSE5281__GSM238843,positive,GSM238843,GSE5281
GSE5281__GSM238844,positive,GSM238844,GSE5281
GSE5281__GSM238845,positive,GSM238845,GSE5281
GSE5281__GSM238846,positive,GSM238846,GSE5281
GSE5281__GSM238847,positive,GSM238847,GSE5281
GSE5281__GSM238848,positive,GSM238848,GSE5281
GSE5281__GSM238851,positive,GSM238851,GSE5281
GSE5281__GSM238854,positive,GSM238854,GSE5281
GSE5281__GSM238855,positive,GSM238855,GSE5281
GSE5281__GSM238856,positive,GSM238856,GSE5281
GSE5281__GSM238857,positive,GSM238857,GSE5281
GSE5281__GSM238858,positive,GSM238858,GSE5281
GSE5281__GSM238860,positive,GSM238860,GSE5281
GSE5281__GSM238861,positive,GSM238861,GSE5281
GSE5281__GSM238862,positive,GSM238862,GSE5281
GSE5281__GSM238863,positive,GSM238863,GSE5281
GSE5281__GSM238864,positive,GSM238864,GSE5281
GSE5281__GSM238865,positive,GSM238865,GSE5281
GSE5281__GSM238867,positive,GSM238867,GSE5281
GSE5281__GSM238868,positive,GSM238868,GSE5281
GSE5281__GSM238870,positive,GSM238870,GSE5281
GSE5281__GSM238871,positive,GSM238871,GSE5281
GSE5281__GSM238872,positive,GSM238872,GSE5281
GSE5281__GSM238873,positive,GSM238873,GSE5281
GSE5281__GSM238874,positive,GSM238874,GSE5281
GSE5281__GSM238875,positive,GSM238875,GSE5281
GSE5281__GSM238877,positive,GSM238877,GSE5281
GSE5281__GSM238941,positive,GSM238941,GSE5281
GSE5281__GSM238942,positive,GSM238942,GSE5281
GSE5281__GSM238943,positive,GSM238943,GSE5281
GSE5281__GSM238944,positive,GSM238944,GSE5281
GSE5281__GSM238945,positive,GSM238945,GSE5281
GSE5281__GSM238946,positive,GSM238946,GSE5281
GSE5281__GSM238947,positive,GSM238947,GSE5281
GSE5281__GSM238948,positive,GSM238948,GSE5281
GSE5281__GSM238949,positive,GSM238949,GSE5281
GSE5281__GSM238951,positive,GSM238951,GSE5281
GSE5281__GSM238952,positive,GSM238952,GSE5281
GSE5281__GSM238953,positive,GSM238953,GSE5281
GSE5281__GSM238955,positive,GSM238955,GSE5281
GSE5281__GSM238963,positive,GSM238963,GSE5281
